index,property_type,room_type,accommodates,year_month,active_listings_rate,min_price_active,max_price_active,median_price_active,avg_price_active,distinct_hosts,superhost_rate,avg_review_score_active,active_listings,inactive_listings,total_stays,avg_estimated_revenue_per_active,pct_change_active_listings,pct_change_inactive_listings
89,Apartment,Private room,5,2020-07,100.0,60.0,380.0,129.5,175.1,10.0,20.0,91.25,10.0,0.0,192.0,3203.1,-23.076923076923073,
90,Apartment,Private room,6,2020-05,100.0,99.0,260.0,150.0,155.0,7.0,0.0,86.0,7.0,0.0,119.0,2899.285714285714,,
91,Apartment,Private room,6,2020-06,100.0,100.0,260.0,150.0,154.85714285714286,7.0,0.0,86.0,7.0,0.0,150.0,3788.5714285714284,0.0,
92,Apartment,Private room,6,2020-07,100.0,100.0,200.0,100.0,129.8,5.0,0.0,86.0,5.0,0.0,94.0,2764.2,-28.57142857142857,
93,Apartment,Private room,7,2020-05,100.0,1000.0,1000.0,1000.0,1000.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
94,Apartment,Private room,7,2020-06,100.0,55.0,1000.0,527.5,527.5,2.0,0.0,93.0,2.0,0.0,19.0,522.5,100.0,
95,Apartment,Private room,8,2020-05,100.0,45.0,45.0,45.0,45.0,1.0,100.0,94.0,1.0,0.0,30.0,1350.0,,
96,Apartment,Private room,8,2020-06,100.0,45.0,45.0,45.0,45.0,1.0,100.0,94.0,1.0,0.0,29.0,1305.0,0.0,
97,Apartment,Private room,8,2020-07,100.0,46.0,46.0,46.0,46.0,1.0,100.0,94.0,1.0,0.0,30.0,1380.0,0.0,
98,Apartment,Private room,10,2020-05,100.0,419.0,419.0,419.0,419.0,1.0,0.0,80.0,1.0,0.0,30.0,12570.0,,
99,Apartment,Private room,10,2020-06,100.0,420.0,420.0,420.0,420.0,1.0,0.0,80.0,1.0,0.0,30.0,12600.0,0.0,
100,Apartment,Private room,10,2020-07,100.0,420.0,420.0,420.0,420.0,1.0,0.0,80.0,1.0,0.0,30.0,12600.0,0.0,
101,Apartment,Private room,16,2020-05,100.0,47.0,47.0,47.0,47.0,1.0,0.0,,1.0,0.0,30.0,1410.0,,
102,Apartment,Private room,16,2020-06,100.0,47.0,47.0,47.0,47.0,1.0,0.0,,1.0,0.0,30.0,1410.0,0.0,
103,Apartment,Private room,16,2020-07,100.0,47.0,47.0,47.0,47.0,1.0,0.0,,1.0,0.0,30.0,1410.0,0.0,
104,Apartment,Shared room,1,2020-05,100.0,15.0,586.0,35.0,49.40531561461794,231.0,1.7316017316017316,90.12621359223301,301.0,0.0,5544.0,819.126245847176,,
105,Apartment,Shared room,1,2020-06,100.0,14.0,550.0,34.0,50.47241379310345,234.0,1.7094017094017095,90.60576923076923,290.0,0.0,5564.0,851.851724137931,-3.6544850498338888,
106,Apartment,Shared room,1,2020-07,100.0,14.0,500.0,37.0,50.49173553719008,207.0,1.932367149758454,90.03703703703704,242.0,0.0,4780.0,902.2933884297521,-16.551724137931036,
107,Apartment,Shared room,2,2020-05,100.0,0.0,390.0,53.0,71.76041666666667,87.0,0.0,85.03333333333333,96.0,0.0,1757.0,1166.5,,
108,Apartment,Shared room,2,2020-06,100.0,0.0,390.0,59.0,72.8021978021978,84.0,0.0,87.25,91.0,0.0,1698.0,1187.2087912087911,-5.2083333333333375,
